Unnamed: 0,id,alert_id,movement_date,date,evaluation_date,household,Pop_2020,population_id,population_label,health_zone_id,health_zone_label,hebergement_id,hebergement_label,cause_id,cause_label,admin1_id,province,admin2_id,admin2_label,admin2_type,admin3_id,admin3_label,admin4_id,admin4_label,admin5_id,admin5_label,admin1_id_from,admin1_label_from,admin2_id_from,admin2_label_from,admin2_type_from,admin3_id_from,admin3_label_from,admin4_id_from,admin4_label_from,admin5_id_from,admin5_label_from,hz_id_from,hz_label_from,site,mois-evaluation,annee-evaluation,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,Pop_2019,F_00_04_2019,M_00_04_2019,F_05_19_2019,M_05_19_2019,F_adulte_2019,M_adulte_2019,F_agee_2019,M_agee_2019,T_00_04_2019,T_05_19_2019,T_adulte_2019,T_agee_2019,F_2019,M_2019,T_2019,F_00_04_2020,M_00_04_2020,F_05_19_2020,M_05_19_2020,F_adulte_2020,M_adulte_2020,F_agee_2020,M_agee_2020,T_00_04_2020,T_05_19_2020,T_adulte_2020,T_agee_2020,F_2020,M_2020,T_2020,_merge
,,,,,,,2344642,,,,,,,,,,Lualaba,,,,,,,,,,,,,,,,,,,,,,,,,,CD72,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2256634.0,236383.0,241008.0,453246.0,461483.0,413078.0,404615.0,25839.0,21551.0,477391.0,914729.0,817693.0,47390.0,1128546.0,1128657.0,2257203.0,245602.0,250407.0,470921.0,479481.0,429186.0,420394.0,26846.0,22390.0,496009.0,950402.0,849580.0,49236.0,1212180.0,1132462.0,2344642.0,right_only
,,,,,,,1926111,,,,,,,,,,Maï-Ndombe,,,,,,,,,,,,,,,,,,,,,,,,,,CD33,Mai-Ndombe,<Null>,<Null>,République démocratique du Congo (la),CD,1870010.0,176061.0,186907.0,355489.0,375591.0,373067.0,348852.0,30573.0,23468.0,362968.0,731080.0,721919.0,54041.0,935190.0,934818.0,1870008.0,181343.0,192515.0,366154.0,386860.0,384259.0,359316.0,31493.0,24172.0,373858.0,753014.0,743575.0,55665.0,903346.0,1022765.0,1926111.0,right_only
,,,,,,,2636541,,,,,,,,,,Maniema,,,,,,,,,,,,,,,,,,,,,,,,,,CD63,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2552316.0,237492.0,244001.0,442062.0,472306.0,560233.0,514802.0,38411.0,45940.0,481493.0,914368.0,1075035.0,84351.0,1278198.0,1277049.0,2555247.0,245330.0,252055.0,456649.0,487891.0,578721.0,531789.0,39680.0,47458.0,497385.0,944540.0,1110510.0,87138.0,1326178.0,1310363.0,2636541.0,right_only
,,,,,,,2522035,,,,,,,,,,Mongala,,,,,,,,,,,,,,,,,,,,,,,,,,CD44,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2450957.0,218258.0,226959.0,458818.0,474015.0,499260.0,487985.0,49386.0,35294.0,445217.0,932833.0,987245.0,84680.0,1225722.0,1224253.0,2449975.0,224587.0,233540.0,472126.0,487762.0,513738.0,502138.0,50819.0,36318.0,458127.0,959888.0,1015876.0,87137.0,1266061.0,1255974.0,2522035.0,right_only
,,,,,,,10240652,,,,,,,,,,Nord-Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,CD61,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,9913508.0,976481.0,1010186.0,1876628.0,1936109.0,1996084.0,1881087.0,109049.0,128381.0,1986667.0,3812737.0,3877171.0,237430.0,4958242.0,4955763.0,9914005.0,1008705.0,1043522.0,1938555.0,1999999.0,2061956.0,1943163.0,112649.0,132616.0,2052227.0,3938554.0,4005119.0,245265.0,5263695.0,4976957.0,10240652.0,right_only
,,,,,,,1582171,,,,,,,,,,Nord-Ubangi,,,,,,,,,,,,,,,,,,,,,,,,,,CD43,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,1537582.0,136922.0,142380.0,287836.0,297368.0,313206.0,306133.0,30983.0,22141.0,279302.0,585204.0,619339.0,53124.0,768947.0,768022.0,1536969.0,140892.0,146510.0,296183.0,305992.0,322288.0,315010.0,31881.0,22784.0,287402.0,602175.0,637298.0,54665.0,745202.0,836969.0,1582171.0,right_only
,,,,,,,2047529,,,,,,,,,,Sankuru,,,,,,,,,,,,,,,,,,,,,,,,,,CD83,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,1978291.0,198621.0,203368.0,388537.0,400012.0,372017.0,365786.0,30069.0,19486.0,401989.0,788549.0,737803.0,49555.0,989244.0,988652.0,1977896.0,205572.0,210486.0,402134.0,414009.0,385038.0,378590.0,31123.0,20168.0,416058.0,816143.0,763628.0,51291.0,1036050.0,1011479.0,2047529.0,right_only
,,,,,,,7104949,,,,,,,,,,Sud-Kivu,,,,,,,,,,,,,,,,,,,,,,,,,,CD62,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,6877976.0,674731.0,691237.0,1279304.0,1301313.0,1392790.0,1347396.0,94916.0,100418.0,1365968.0,2580617.0,2740186.0,195334.0,3441741.0,3440364.0,6882105.0,696996.0,714048.0,1321521.0,1344255.0,1438752.0,1391859.0,98048.0,103732.0,1411044.0,2665776.0,2830611.0,201780.0,3573790.0,3531160.0,7104950.0,right_only
,,,,,,,2872456,,,,,,,,,,Sud-Ubangi,,,,,,,,,,,,,,,,,,,,,,,,,,CD42,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2791502.0,248584.0,258493.0,522570.0,539876.0,568629.0,555788.0,56249.0,40198.0,507077.0,1062446.0,1124417.0,96447.0,1396032.0,1394355.0,2790387.0,255791.0,265990.0,537725.0,555533.0,585119.0,571907.0,57880.0,41363.0,521781.0,1093258.0,1157026.0,99243.0,1387396.0,1485060.0,2872456.0,right_only
,,,,,,,3158328,,,,,,,,,,Tanganyika,,,,,,,,,,,,,,,,,,,,,,,,,,CD74,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,3039775.0,318416.0,324648.0,610539.0,621634.0,556431.0,545032.0,34805.0,29030.0,643064.0,1232173.0,1101463.0,63835.0,1520191.0,1520344.0,3040535.0,330834.0,337310.0,634351.0,645878.0,578132.0,566289.0,36163.0,30163.0,668144.0,1280229.0,1144421.0,66326.0,1632856.0,1525472.0,3158328.0,right_only
,,,,,,,3159161,,,,,,,,,,Tshopo,,,,,,,,,,,,,,,,,,,,,,,,,,CD51,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,3085118.0,235703.0,247427.0,534650.0,561337.0,701556.0,678572.0,71111.0,57074.0,483130.0,1095987.0,1380128.0,128185.0,1543020.0,1544410.0,3087430.0,241360.0,253365.0,547481.0,574811.0,718393.0,694858.0,72817.0,58445.0,494725.0,1122292.0,1413251.0,131262.0,1576422.0,1582739.0,3159161.0,right_only
,,,,,,,2119892,,,,,,,,,,Tshuapa,,,,,,,,,,,,,,,,,,,,,,,,,,CD45,<Null>,<Null>,<Null>,République démocratique du Congo (la),CD,2060149.0,183457.0,190771.0,385660.0,398433.0,419652.0,410176.0,41512.0,29665.0,374228.0,784093.0,829828.0,71177.0,1030281.0,1029045.0,2059326.0,188775.0,196302.0,396844.0,409986.0,431822.0,422070.0,42717.0,30527.0,385077.0,806830.0,853892.0,73244.0,1059947.0,1059947.0,2119894.0,right_only
