,FID,vid,cid,id,source,project,pcode,name,date,visit_onsite,visit_onsite_novisitreason,geom,longitude,latitude,location_origin,province,province_old,territoire,collectivite,groupement,village,workers_numb,access_dry,access_wet,is_3t_mine,is_gold_mine,mineral1,selling_points_mineral1,final_destination_mineral1,mineral2,selling_points_mineral2,final_destination_mineral2,mineral3,selling_points_mineral3,final_destination_mineral3,mercury,presence,interference,armed_group1,type_armed_group1,frequency_armed_group1,taxation_armed_group1,commerce_taxation_armed_group1,entrance_taxation_armed_group1,monopoly_armed_group1,buying_minerals_armed_group1,digging_armed_group1,forced_labour_armed_group1,pillaging_armed_group1,armed_group2,type_armed_group2,frequency_armed_group2,taxation_armed_group2,commerce_taxation_armed_group2,entrance_taxation_armed_group2,monopoly_armed_group2,buying_minerals_armed_group2,digging_armed_group2,forced_labour_armed_group2,pillaging_armed_group2,state_service1,state_service2,state_service3,state_service4,itsci,traceability,qualification,childunder15,childunder15work,women,womenwork
4913,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d92,4914,3627,159,IPIS,IPIS - Madini,codmine03678,Usine,2020,1,,POINT (30.298059089987962 1.8849037044308194),30.29805909,1.8849037,GPS,Ituri,orientale,Djugu,Mambisa,Mandje,Mabanga,100,more2h,more2h,0,1,Or,Mabanga,"Bunia, Butembo,  Beni",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Aléatoire,1,0,1,1,0,0,0,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Aléatoire,1,0,0,1,0,0,0,0,SAESSCAM,Division des mines,DGI,Dgrpi,,,,1,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4914,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d91,4915,3628,160,IPIS,IPIS - Madini,codmine03679,Shabani,2020,1,,POINT (30.29535166666667 1.8866549999999997),30.29535167,1.886655,GPS,Ituri,orientale,Djugu,Mambisa,Mandje,Mabanga,120,more2h,more2h,0,1,Or,"Mabanga, Nizi, Iga","Bunia, Butembo, Beni",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois tous les 15 jours,1,0,1,1,0,0,1,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Une fois tous les 15 jours,1,0,0,1,0,0,0,0,SAESSCAM,Division des mines,DGI,Chefferie,,,,1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4915,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d90,4916,3629,105,IPIS,IPIS - Madini,codmine00057,Cinquantenaire (SOMIBAF),2020,1,,POINT (29.1598816667 1.1283083333),29.15988167,1.12830833,GPS,Ituri,orientale,Mambasa,Babila-Bakwanza,Bapwele,Mayuano,100,carmoto,carmoto,0,1,Or,Mayuano,"Butembo,Bunia",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois tous les 15 jours,1,0,0,0,0,0,1,0,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,1,"Lavage, Transport des minerais, Traiter les déchets",0,
4916,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d8f,4917,3630,161,IPIS,IPIS - Madini,codmine03680,Kudjuba,2020,1,,POINT (30.277191666666667 1.86959),30.27719167,1.86959,GPS,Ituri,orientale,Djugu,Mambisa,Mandje,Pati,60,more2h,more2h,0,1,Or,"Mabanga, Nizi, Iga","Bunia, Butembo, Beni",,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Aléatoire,1,0,1,1,0,0,0,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Aléatoire,1,0,0,1,1,0,0,0,SAESSCAM,Division des mines,Chefferie,DGRPI,,,,1,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4917,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d8e,4918,3631,162,IPIS,IPIS - Madini,codmine03681,FM Bogoro,2020,1,,POINT (30.278621666666663 1.8720999999999999),30.27862167,1.8721,GPS,Ituri,orientale,Djugu,Mambisa,Mandje,Dimu,80,more2h,more2h,0,1,Or,"Iga, Nizi, Mabanga",Bunia,,,,,,,1,1,1,FARDC,FARDC - Éléments indisciplinés,Aléatoire,1,0,1,1,0,0,0,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Aléatoire,1,0,0,1,0,0,0,0,SAESSCAM,Division des mines,Chefferie,ANR,,,,1,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4918,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d8d,4919,3632,130,IPIS,IPIS - Madini,codmine03746,Baluma,2020,1,,POINT (30.301615264521434 1.752147761170307),30.30161526,1.75214776,GPS,Ituri,,Djugu,,,Nizi,600,less2h,carmoto,0,1,Or,"Nizi, Iga","Bunia, Beni , Butembo",,,,,,,1,1,1,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Aléatoire,1,0,0,1,0,0,0,0,,0,,,,,,,,,,ANR,,,,,,,1,"Creuser, Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4919,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d8c,4920,3633,121,IPIS,IPIS - Madini,codmine00085,Jerusalem,2020,1,,POINT (29.261895 0.62908),29.261895,0.62908,GPS,Ituri,orientale,Mambasa,Babila-Babombi,Mambembe,Njiapanda/Bella,150,carmoto,carmoto,0,1,Or,"Njiapanda,Bela","Bunia,Butembo",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Une fois par semaine,1,0,0,0,0,0,1,0,,0,,,,,,,,,,SAESSCAM,Division des mines,DGI,,,,,1,"Concassage, Lavage, Transport des minerais, Traiter les déchets",1,"Concassage, Transport des minerais"
4920,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d8b,4921,3634,163,IPIS,IPIS - Madini,codmine03682,Kiviri Delta force,2020,1,,POINT (29.26040833333333 0.62288),29.26040833,0.62288,GPS,Ituri,orientale,Mambasa,Babila-Babombi,Mambembe,Njiapanda,380,carmoto,carmoto,0,1,Or,Njiapanda,"Bunia, Butembo",,,,,,,0,1,1,FARDC,FARDC - Éléments indisciplinés,Quotidien,0,0,0,0,0,0,1,0,Police Nationale Congolaise (sauf PMH),PNC - Éléments indisciplinés,Quotidien,0,0,0,0,0,1,1,0,SAESSCAM,Division des mines,,,,,,1,"Creuser, Concassage, Lavage, Transport des minerais",1,"Creuser, Concassage, Lavage, Transport des minerais"
4921,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d8a,4922,3635,164,IPIS,IPIS - Madini,codmine03683,Texas Usine,2020,1,,POINT (30.327366666666663 1.737575),30.32736667,1.737575,GPS,Ituri,orientale,Djugu,Bahema-Badjere,Tchachako,Lokpa,300,more2h,more2h,0,1,Or,"Iga, Nizi","Bunia, Beni. Butembo",,,,,,,1,0,0,,0,,,,,,,,,,,0,,,,,,,,,,ANR,,,,,,,1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure",1,"Concassage, Lavage, Transport des minerais, Traiter les déchets, Usage du mercure"
4922,cod_mines_curated_all_opendata_p_ipis.fid--3e60154c_180154dfc5e_-6d89,4923,3636,122,IPIS,IPIS - Madini,codmine00090,Kotakoli,2020,1,,POINT (29.29969408743187 0.9076515124261175),29.29969409,0.90765151,GPS,Ituri,orientale,Mambasa,Babila-Babombi,Babila Teturi,Lalia,200,carmoto,carmoto,0,1,Or,Biakato,Butembo,,,,,,,1,1,0,FARDC,FARDC - Pas d’ingérence constatée,Aléatoire,0,0,0,0,0,0,0,0,,0,,,,,,,,,,SAESSCAM,Division des mines,,,,,,1,"Concassage, Lavage, Transport des minerais, Traiter les déchets",1,"Concassage, Transport des minerais"
